<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	12:45:00	2644.02	2644.11	2640.50	2642.77	2057	0	7
2025.01.02	13:00:00	2642.77	2644.62	2642.46	2644.20	1411	0	7
2025.01.02	13:15:00	2644.20	2644.42	2640.70	2641.81	1525	0	7
2025.01.02	13:30:00	2641.80	2642.87	2640.36	2642.17	1272	0	7
2025.01.02	13:45:00	2642.17	2642.53	2641.18	2642.05	1026	0	7
2025.01.02	14:00:00	2642.05	2642.92	2640.38	2641.08	1284	0	7
2025.01.02	14:15:00	2641.08	2643.17	2640.57	2642.72	1256	0	7
2025.01.02	14:30:00	2642.72	2645.26	2642.18	2644.27	1819	0	7
2025.01.02	14:45:00	2644.27	2646.44	2642.92	2643.45	1862	0	7
2025.01.02	15:00:00	2643.45	2643.45	2638.41	2638.65	3188	0	7
2025.01.02	15:15:00	2638.65	2641.14	2636.17	2641.11	2769	0	4
2025.01.02	15:30:00	2641.11	2641.11	2637.04	2639.23	3216	0	0
2025.01.02	15:45:00	2639.22	2647.25	2638.24	2642.92	3098	0	7
2025.01.02	16:00:00	2642.90	2646.95	2640.44	2646.94	2673	0	7
2025.01.02	16:15:00	2646.93	2649.09	2646.21	2646.40	2754	0	3
2025.01.02	16:30:00	2646.42	2650.16	2646.35	2649.10	3621	0	4
2025.01.02	16:45:00	2649.10	2651.09	2646.90	2647.65	3107	0	7
2025.01.02	17:00:00	2647.63	2649.61	2645.23	2648.62	3509	0	5
2025.01.02	17:15:00	2648.62	2649.68	2647.55	2648.88	2726	0	7
2025.01.02	17:30:00	2648.88	2653.72	2648.41	2652.02	3300	0	7
2025.01.02	17:45:00	2652.01	2655.85	2651.46	2654.09	3179	0	5
2025.01.02	18:00:00	2654.09	2654.42	2650.02	2653.64	3911	0	7
2025.01.02	18:15:00	2653.64	2657.96	2653.41	2656.75	3306	0	7
2025.01.02	18:30:00	2656.75	2658.42	2654.81	2657.44	2264	0	7
2025.01.02	18:45:00	2657.38	2660.39	2657.38	2659.28	2028	0	6
2025.01.02	19:00:00	2659.28	2660.43	2657.97	2659.07	1606	0	7
2025.01.02	19:15:00	2659.07	2659.90	2655.99	2656.28	1875	0	7
2025.01.02	19:30:00	2656.28	2656.46	2653.13	2653.66	1904	0	7
2025.01.02	19:45:00	2653.67	2656.71	2652.52	2656.59	1558	0	7
2025.01.02	20:00:00	2656.59	2658.84	2655.97	2656.76	2225	0	7
2025.01.02	20:15:00	2656.80	2658.20	2654.96	2654.98	1943	0	7
2025.01.02	20:30:00	2654.98	2656.17	2653.81	2655.88	1469	0	7
2025.01.02	20:45:00	2655.93	2656.16	2654.80	2655.48	1412	0	7
2025.01.02	21:00:00	2655.48	2655.96	2654.34	2654.56	1522	0	7
