<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.04.01	01:00:00	3123.04	3125.82	3122.98	3124.48
2025.04.01	01:15:00	3124.48	3124.48	3121.66	3123.22
2025.04.01	01:30:00	3123.22	3123.54	3122.17	3123.2
2025.04.01	01:45:00	3123.2	3123.7	3122.59	3122.82
2025.04.01	02:00:00	3122.82	3126	3122.82	3125.55
2025.04.01	02:15:00	3125.55	3125.86	3124.88	3125.46
2025.04.01	02:30:00	3125.46	3126.38	3125.06	3126.05
2025.04.01	02:45:00	3126.05	3126.46	3120.11	3120.55
2025.04.01	03:00:00	3120.56	3124.49	3120.4	3122.93
2025.04.01	03:15:00	3122.93	3125.61	3122.58	3124.31
2025.04.01	03:30:00	3124.31	3126.55	3124.09	3126.55
2025.04.01	03:45:00	3126.55	3128.03	3125.9	3127.26
2025.04.01	04:00:00	3127.26	3134.49	3126.57	3132.89
2025.04.01	04:15:00	3132.89	3134.73	3131.04	3133.5
2025.04.01	04:30:00	3133.49	3136.2	3129.86	3135.88
2025.04.01	04:45:00	3135.88	3138.25	3133.84	3135.44
2025.04.01	05:00:00	3135.43	3139.92	3133.04	3139.37
2025.04.01	05:15:00	3139.37	3143.55	3138.01	3142.54
2025.04.01	05:30:00	3142.6	3143.48	3140.81	3142.78
2025.04.01	05:45:00	3142.79	3145.67	3142.44	3145.16
2025.04.01	06:00:00	3145.17	3145.19	3142.62	3144.14
2025.04.01	06:15:00	3144.14	3145.05	3143	3144.85
2025.04.01	06:30:00	3144.85	3146.11	3143.69	3144.22
2025.04.01	06:45:00	3144.22	3147.41	3144.22	3146.09
2025.04.01	07:00:00	3146.08	3148.02	3144.58	3146.55
2025.04.01	07:15:00	3146.55	3146.6	3142.87	3143.8
2025.04.01	07:30:00	3143.8	3145.79	3143.34	3144.22
2025.04.01	07:45:00	3144.22	3145.61	3144.03	3144.8
2025.04.01	08:00:00	3144.81	3145.2	3141.7	3142.69
2025.04.01	08:15:00	3142.69	3145.77	3142.6	3145.17
2025.04.01	08:30:00	3145.17	3149.02	3144.31	3145.37
2025.04.01	08:45:00	3145.37	3146.31	3130.52	3132.09
